time,open,high,low,close,volume
1553886007701,119.62,119.62,119.62,119.1,3703
1554141607391,120.58,120.58,120.58,119.9,2
1554228007454,121.34,121.34,121.34,121.06,38
1554314407361,122.22,122.22,122.22,121.62,2
1554400807185,122.22,122.22,121.74,122.54,868
1554487207690,122,122,122,121.74,16
1554746407382,121.96,121.96,121.86,122.16,76
1554832807759,121.78,121.78,121.1,122.1,2
1554919207406,121.2,121.2,121.2,121.1,52
1555005607280,121.76,121.76,121.5,121.62,2
1555092006585,121.14,121.14,120.78,121.5,2
1555351207114,120.84,120.84,120.8,120.78,41
1555437608059,121.06,121.06,120.86,120.98,2
1555524007169,120.52,120.52,120.52,120.86,2
1555610407218,120.36,120.36,120.34,120.56,31
1557424809560,117.16,117.16,116.26,117.7,228
1557511207603,117.08,117.08,116.98,116.26,2
1557770407691,116.9,116.9,115.68,116.98,40
1557856813233,115.94,115.94,115.94,115.68,255
1557943208060,117.7,117.7,117.36,117.44,29
1558029607182,118.46,118.46,118.4,118.38,22
1558116008018,119.76,119.76,119.56,120,70
1558375208048,119.68,119.68,118.96,119.96,1152
1558461607721,119.5,119.5,119.5,119.02,21069
1558548007935,119.9,119.9,119.9,119.58,2
1558634407526,119.26,119.26,117.92,120.1,40
1558720807746,118.42,118.42,118.42,117.92,2
1558980007123,119.24,119.24,118.7,118.92,936
1559066407426,119.26,119.26,118.94,118.7,2
1559152808441,118.24,118.24,116.92,118.94,51
1559239207494,117.32,117.32,117.32,117.02,2
1559325606846,116.3,116.3,116.3,117.5,216
1559584806998,116.1,116.1,116.1,116.96,2
1559671212391,116.14,116.14,116.14,117.18,10
1559757607358,117.36,117.36,117.36,117.1,8
1559844008289,118.16,118.16,118.06,117.9,2
1559930408242,118.56,118.56,118.56,118.06,2
1560196039377,119.86,119.86,119.82,119.38,2
1560276007395,119.88,120.58,119.88,119.82,31
1560362408188,119.8,120.14,119.8,120.36,2
1560448807949,120.06,120.52,120.06,120.14,83
1560535207491,120.1,120.16,120.1,120.4,2
1560794407205,120.24,120.24,120.08,120.16,43
1560880807180,120.08,122.14,120.08,120.16,2
1560967208082,122.14,122.14,121.42,122.14,86
1561053606590,122.28,122.3,122.28,121.56,951
1561140007589,122.46,122.46,121.88,122.28,13
1561399208589,122.06,122.06,121.58,121.88,67
1561485608696,121.56,121.78,121.44,121.58,1209
1561572006971,121.34,121.34,121.24,121.44,2
1561658408350,121.16,121.16,120.74,121.24,35
1561744807347,120.76,121.28,120.76,120.74,2
1562004007404,122.62,123.04,122.02,121.28,19
1562090407412,122.56,122.78,122.56,122.32,156
1562176807812,123.16,124.14,123.16,122.78,2
1562263207976,124.12,124.12,123.72,124.14,2
1562349607350,123.62,123.62,122.42,123.72,2
1565863636018,115.88,115.88,115.5,115.46,47.0
1565863911350,115.88,115.88,115.5,115.46,47.0
1565892007750,115.88,115.88,115.04,115.46,364.0
1565978408035,115.8,116.72,115.74,115.28,363.0
1566237608084,117.6,117.96,117.6,116.72,2.0
1566324008948,118.12,118.12,117.14,117.96,2.0
1566410407272,117.64,118.66,117.64,117.14,2.0
1566496808146,118.28,118.28,117.74,118.66,2.0
1566583209047,118.16,118.16,116.94,117.74,22000.0
1566842407644,116.46,117.22,116.46,116.94,2.0
1566928807542,116.9,118.18,116.9,117.22,2.0
1567015208162,117.92,117.92,116.68,118.18,140.0
1567101609022,116.9,117.9,116.9,117.58,2.0
1567188010021,118.04,118.8,118.04,117.9,2.0
1567447207858,119.24,119.24,119.14,118.8,2.0
1567533608339,118.88,118.88,118.76,119.14,2.0
1567620009608,119.6,119.96,119.6,118.76,2.0
1567706408144,120.74,120.74,120.36,119.96,2.0
1567792807553,120.48,121.02,120.48,120.36,2.0
1568052008407,121.2,121.2,119.78,121.02,4.0
1568138408518,119.36,119.36,119.26,119.78,8.0
1568224807984,119.46,120.24,119.46,119.26,20.0
1568311207126,120.56,120.82,120.56,120.24,2.0
1568397608563,120.66,120.66,120.66,120.82,2.0
1568656807733,120.26,120.3,120.26,120.66,810.0
1568743208392,119.74,120.62,119.74,120.3,2.0
1568829608138,120.28,120.8,120.28,120.62,40.0
1568916007672,120.44,121.16,120.44,120.8,64.0
1569002414652,121.26,121.26,120.88,121.16,2.0
1569261608447,120.06,120.34,120.06,120.88,829.0
1569348008197,120.46,120.46,120.34,120.34,2.0
1569434408248,119.82,119.82,119.48,120.34,1000.0
1569520809438,119.34,120.66,119.34,119.48,81.0
1569607206987,121.08,121.2,121.08,120.66,2.0
1569866407499,121.12,121.56,121.12,121.2,2.0
1569952807973,121.84,121.84,120.06,121.56,28.0
1570039207095,119.76,119.76,116.72,120.06,1013.0
1570125609044,116.54,116.64,116.54,116.72,2.0
1570212009299,116.84,118.1,116.84,116.64,64.0
1570471208353,118.04,118.8,118.04,118.1,2.0
1570557608143,118.82,118.82,117.72,118.8,1500.0
1570644009280,117.32,117.76,117.32,117.72,2.0
1570730408463,117.76,117.98,117.76,117.76,2.0
1570816808326,118.28,120.5,118.28,117.98,2.0
1571076007481,119.84,119.84,119.76,120.5,2.0
1571162408666,120.5,121.0,120.5,119.76,1461.0
1571248808326,120.52,120.52,119.9,120.6,2.0
1571335208954,119.8,120.2,119.8,119.9,2.0
1571421609202,120.2,120.2,119.82,120.2,51.0
1571680808844,120.08,120.1,120.08,119.82,2.0
1571767209320,120.1,120.36,120.1,120.1,44.0
1571853608132,119.94,120.58,119.94,120.36,1000.0
1571940007845,120.58,120.78,120.58,120.58,2.0
1572026407985,120.74,120.76,120.54,120.78,142.0
1572289208022,120.98,121.7,120.98,120.68,2.0
1572375608030,121.56,121.56,120.4,121.7,86.0
1572462009682,121.36,121.96,121.36,121.3,933.0
1572548407845,122.4,122.4,121.3,121.96,2.0
1572634815640,121.82,122.1,121.82,121.3,2.0
1572894007180,122.58,122.9,122.58,122.1,50.0
1572980407685,122.62,122.72,122.62,122.9,2.0
1573066808281,122.84,123.08,122.36,122.72,100.0
1573153207827,123.52,123.52,123.42,123.08,2.0
1573239609520,123.08,123.08,123.0,123.42,9.0
1573498807639,122.7,122.96,122.7,123.0,2.0
1573585207922,123.36,123.8,123.36,122.96,2.0
1573671608944,123.7,124.04,123.7,123.8,2.0
1573758007847,124.04,124.04,123.1,124.04,4243.0
1573844407908,124.06,124.22,124.06,123.5,2.0
1574103608428,124.14,124.46,124.14,124.22,45.0
1574276407624,123.86,124.26,123.86,124.4,91.0
1574362808432,123.62,123.74,123.54,124.26,79.0
1574449208404,123.94,123.98,123.84,123.54,31.0
1574708407546,124.6,125.24,124.6,123.98,118.0
1574794807410,124.74,125.88,124.74,125.24,149.0
1574881207477,126.08,126.3,126.08,125.88,10.0
1574967608218,126.04,126.08,125.8,126.3,26.0
1575054008138,125.8,126.0,125.66,126.08,125.0
1575313212752,125.9,125.9,123.28,125.66,80.0
1575399607642,123.76,123.76,123.0,123.28,2.0
1575486007941,122.92,124.24,122.92,123.0,149.0
1575572408938,124.42,124.42,123.92,124.24,2.0
1575658808998,124.18,125.22,124.18,123.92,20.0
1575918009334,125.28,125.28,125.06,125.22,144.0
1576004410487,124.7,124.94,124.68,125.06,26.0
1576090809053,124.78,124.86,124.78,124.94,2.0
1576177207870,125.06,125.06,124.8,124.86,2.0
1576263607425,126.02,126.7,126.02,124.8,389.0
1576522808023,126.68,127.92,126.68,126.02,27.0
1576609207520,127.6,127.96,127.6,127.92,20.0
1576695608628,127.72,127.72,127.72,127.68,2.0
1576782007759,127.86,127.86,127.7,127.72,2.0
1576868408208,128.04,128.88,128.04,127.7,220.0
1577127608766,128.96,128.96,128.82,128.88,95.0
1577214008235,128.88,128.98,128.88,128.88,2.0
1577300408262,128.88,128.98,128.88,128.88,2.0
1577386808475,128.88,128.98,128.88,128.88,2.0
1577473208281,129.5,129.5,129.42,128.98,2.0
1577732410466,129.2,129.2,128.22,129.42,217.0
1577818808719,128.02,128.02,127.96,128.22,10.0
1577905210947,128.02,128.02,127.96,128.22,10.0
1577991607292,128.96,129.14,128.96,128.0,16.0
1578078008250,128.4,128.54,128.22,129.14,23.0
1578337207442,127.6,127.84,127.6,128.54,2.0
1578423608249,128.34,128.36,128.34,127.84,22.0
1578510007702,127.86,128.6,127.86,128.36,2.0
1578596407848,129.42,129.5,129.42,128.6,2.0
1578682807920,129.94,129.94,129.14,129.5,2.0
1578942007960,129.24,129.26,129.24,129.14,2.0
1579028407925,129.3,129.86,129.3,129.26,12.0
1579114807948,130.2,130.44,130.2,129.86,2.0
1579201206777,130.7,130.78,130.7,130.44,2.0
1579287608001,131.46,132.28,131.46,130.78,2.0
1579546807681,132.04,132.38,132.04,132.28,3.0
1579633209909,131.52,132.22,131.52,132.38,215.0
1579719607817,132.74,132.74,132.66,132.22,2.0
1579806007474,132.52,132.52,132.1,132.66,2.0
1579892407492,133.24,133.82,133.24,132.1,2.0
1580151607773,132.32,132.32,130.8,133.82,10.0
1580238007368,131.36,132.08,131.36,130.8,2.0
1580324407634,132.08,132.78,132.08,132.08,2.0
1580410806907,131.28,131.28,131.2,132.78,2.0
1580497206457,131.86,131.86,131.86,131.2,1.0
1580756407148,130.18,130.42,130.18,129.56,9.0
1580842806851,131.1,132.32,131.1,130.38,2.0
1580929206628,132.12,133.78,132.12,132.32,2.0
1581015607049,134.42,134.42,133.92,133.78,7.0
1581102007184,133.86,133.92,133.72,133.92,47.0
1581361207585,133.58,133.98,133.58,133.72,3.0
1581447606517,134.9,135.54,134.9,133.98,186.0
1581534009602,135.68,136.0,135.6,135.46,70.0
1581620406393,135.5,136.36,135.5,136.0,2.0
1581706817559,136.42,136.42,136.4,136.36,2.0
1581966006867,136.64,136.68,136.4,136.4,43.0
1582052406645,135.52,135.84,135.52,136.48,53.0
1582138807805,136.62,137.88,136.62,135.84,2.0
1582225207418,137.88,137.88,136.54,137.88,2.0
1582311607657,135.8,135.84,135.8,136.54,2.0
1582570806873,133.12,133.12,130.28,135.84,591.0
1582657206484,131.44,131.44,127.86,130.5,250.0
1582743607274,126.8,128.28,126.24,127.86,291.0
1582830006104,125.92,125.92,123.0,128.28,64.0
1582916407151,119.66,119.74,118.12,123.52,94.0
1583175607344,121.86,121.86,120.14,119.74,2.0
1583262007232,122.3,124.22,122.3,120.14,352.0
1583348406781,122.34,124.48,122.34,122.68,2.0
1583434806764,125.22,125.22,122.5,124.48,2.0
1583521207150,121.12,121.12,117.9,122.5,326.0
1583780406672,110.0,110.9,109.0,117.9,138.0
1583866806321,110.82,112.64,107.18,109.24,1889.0
1583953207040,108.56,108.56,105.26,107.18,423.0
1584039607143,100.22,100.22,92.51,105.26,202.0
1584126007481,97.16,97.97,94.35,92.51,2020.0
1584385207218,87.29,88.69,87.29,94.35,50.0
1584471608319,92.28,92.28,87.98,88.69,125.0
1584558006974,88.72,88.72,86.89,90.53,2.0
1584644407135,88.55,89.5,87.68,86.89,2.0
1584730807663,92.11,92.11,91.92,89.5,190.0
1584990007144,87.91,88.2,87.79,91.92,16.0
