time,open,high,low,close,volume
1554400818812,94.3593,94.3593,94.3593,94.3593,199
1554487218507,94.5181882583,94.5181882583,94.5181882583,94.5181882583,200
1554746417744,94.2588,94.2588,94.2588,94.2588,201
1554832818256,94.7486785609,94.7486785609,94.7486785609,94.7486785609,202
1554919217531,94.8193,94.8193,94.8193,94.8193,203
1555005618395,95.2854,95.2854,95.2854,95.2854,204
1555092016796,94.8375,94.8375,94.8375,94.8375,205
1555351219626,95.2361856131,95.2361856131,95.2361856131,95.2361856131,206
1555437618809,95.2199,95.2199,95.2199,95.2199,207
1555524018733,94.6619,94.6619,94.6619,94.6619,208
1555610417411,95.2114,95.2114,95.2114,95.2114,209
1557511221795,94.2064,94.2064,94.2064,94.2064,210
1557770420295,94.6159348712,94.6159348712,94.6159348712,94.6159348712,211
1557856826086,94.3606,94.3606,94.3606,94.3606,212
1557943249588,94.9048,94.9048,94.9048,94.9048,213
1558029620560,95.7845,95.7845,95.7845,95.7845,214
1558116020556,97.0882442974,97.0882442974,97.0882442974,97.0882442974,215
1558375219978,96.7689,96.7689,96.7689,96.7689,216
1558461625014,96.1168,96.1168,96.1168,96.1168,217
1558548017781,95.9922,95.9922,95.9922,95.9922,218
1558634419763,96.3081,96.3081,96.3081,96.3081,219
1558720820193,96.2016,96.2016,96.2016,96.2016,220
1558980019001,96.4279,96.4279,96.4279,96.4279,221
1559066418351,96.8089,96.8089,96.8089,96.8089,222
1559152819640,96.4816,96.4816,96.4816,96.4816,223
1559239219192,95.4617,95.4617,95.4617,95.4617,224
1559325616868,96.1143,96.1143,96.1143,96.1143,225
1559584818455,95.6179,95.6179,95.6179,95.6179,226
1559671223319,96.8175,96.8175,96.8175,96.8175,227
1559757618982,95.8148,95.8148,95.8148,95.8148,228
1559844018967,96.6668,96.6668,96.6668,96.6668,229
1559930421350,96.6705,96.6705,96.6705,96.6705,230
1560196069703,87.768,87.85,87.695,87.601,165
1560276039210,87.381,87.511,87.369,87.695,253
1560535238537,87.365,87.365,86.88,87.664,191
1560794438373,87.397,87.414,87.067,87.371,9822
1560880837478,87.399,88.44,87.2,87.256,2726
1560967244314,87.958,88.071,87.904,88.214,116
1561053638325,88.672,89.074,88.672,88.032,131
1561140041923,89.02,89.02,88.444,89.034,5434
1561399241246,88.618,89.15,88.618,88.849,157
1561485644729,88.443,88.826,88.443,88.994,7158
1561572037770,88.233,88.51,87.943,88.729,4941
1561658438634,87.411,87.741,87.301,87.943,912
1561744839217,87.668,88.117,87.528,87.514,2617
1562004047846,88.584,88.584,87.85,88.117,351
1562090441324,88.189,89.097,88.16,88,1973
1562176838660,89.67,90.439,89.67,89.097,341
1562263244778,90.89,90.89,90.317,90.439,1029
1562349640465,90.591,90.591,89.639,90.355,144
1565863647190,91.224,91.6,91.224,90.894,205.0
1565863920275,91.224,91.6,91.224,90.894,205.0
1565892018020,91.224,91.6,91.08,90.894,445.0
1565978418451,91.683,92.587,91.683,91.323,358.0
1566237617770,92.966,92.966,92.745,92.585,269.0
1566324025946,93.297,93.391,92.39,92.908,1796.0
1566410416519,92.57,93.552,92.57,92.39,154.0
1566496818075,93.219,93.241,92.693,93.552,907.0
1566583219009,93.03,93.36,92.259,92.794,7611.0
1566842417454,92.03,92.625,92.03,92.259,1528.0
1566928818535,92.378,93.277,92.325,92.537,295.0
1567015217535,92.992,93.209,92.616,93.277,1022.0
1567101618847,93.271,94.332,93.271,93.209,2783.0
1567188020628,94.275,94.937,94.275,94.29,3385.0
1567447277704,95.073,95.678,94.81,94.813,1242.0
1567533620083,95.268,95.723,95.268,95.488,841.0
1567620046068,95.989,96.369,95.802,95.723,1769.0
1567706422895,96.364,96.364,95.268,96.084,980.0
1567792822506,94.744,95.417,94.744,95.357,210.0
1568052019334,95.218,95.218,93.698,95.417,2380.0
1568138418725,93.309,93.309,92.423,93.775,1860.0
1568224817897,92.545,93.473,92.122,92.628,2462.0
1568311218091,93.678,94.755,93.288,93.473,613.0
1568397619251,93.513,93.513,91.96,93.96,4062.0
1568656818360,91.272,92.069,91.272,92.042,20633.0
1568743220099,91.556,92.63,91.556,91.525,18429.0
1568829619342,92.51,92.543,92.036,92.514,4427.0
1568916019130,92.012,92.236,91.709,92.283,697.0
1569002432656,92.093,92.814,92.0,92.143,6005.0
1569261619050,92.546,92.984,92.5,92.377,6536.0
1569348018239,92.793,92.94,92.793,92.676,50.0
1569434419964,92.399,92.399,91.795,92.937,11543.0
1569520821185,91.891,93.107,91.891,92.207,345.0
1569607217612,93.759,93.759,93.0,93.107,196.0
1569866417912,92.881,93.657,92.417,93.105,14089.0
1569952818985,93.964,93.964,92.185,93.556,950.0
1570039217603,92.419,92.419,90.12,92.185,3284.0
1570125621478,90.339,91.166,90.339,90.12,1329.0
1570212022586,91.334,91.988,91.154,91.09,685.0
1570471219494,92.214,92.917,92.214,91.988,1207.0
1570557620898,92.685,93.0,92.019,92.837,1194.0
1570644021044,91.92,92.716,91.92,92.019,903.0
1570730419468,92.388,92.388,91.199,92.426,3157.0
1570816820981,91.322,91.873,91.322,91.947,1885.0
1571076034326,91.602,91.8,91.2,91.787,1094.0
1571162419294,91.74,91.884,91.63,91.511,582.0
1571248820214,91.746,91.901,91.384,91.63,1712.0
1571335222282,91.015,91.015,90.5,91.39,319.0
1571421622612,89.733,89.826,89.313,90.577,1943.0
1571680820938,89.681,89.681,88.8,89.313,2634.0
1571767226856,88.927,89.051,88.357,89.079,15846.0
1571853621779,88.846,89.05,88.662,89.051,552.0
1571940018665,88.708,89.471,88.641,88.778,7862.0
1572026420707,88.917,88.917,87.747,89.464,8212.0
1572289217635,87.482,87.928,87.311,88.023,591.0
1572375618535,87.549,87.706,87.235,87.656,2877.0
1572462022186,87.698,88.808,87.698,87.706,4699.0
1572548418236,89.097,89.509,88.408,88.789,3388.0
1572634846827,88.482,88.774,88.177,88.408,248.0
1572894018048,87.892,88.073,87.53,88.177,1350.0
1572980418402,87.674,87.994,87.636,87.779,694.0
1573066820330,87.417,88.582,87.417,87.636,1471.0
1573153219009,88.637,88.637,88.105,88.48,22674.0
1573239619724,87.973,88.429,87.967,88.155,3410.0
